881,273,441
681,342,842
178,711,677
504,783,829
563,865,561
842,743,789
504,445,814
838,965,344
833,125,807
335,872,495
326,312,362
65,294,57
429,328,371
748,652,193
6,993,655
915,820,97
90,946,961
859,450,603
793,584,286
256,1000,422
631,544,928
102,917,889
862,374,250
564,427,592
583,260,374
488,938,912
707,579,629
907,133,742
655,27,822
927,394,37
288,303,82
77,329,75
988,975,600
517,694,842
307,438,306
520,297,516
994,809,52
74,544,995
375,516,941
947,579,420
455,199,554
948,553,204
276,559,573
164,167,642
107,36,757
218,479,29
358,484,303
715,841,687
865,353,19
29,146,74
43,422,184
210,530,769
942,598,939
893,720,286
929,681,634
14,338,859
693,592,197
88,470,359
257,190,127
723,941,559
346,267,774
335,435,638
89,958,913
104,794,668
799,665,840
146,546,868
817,354,196
747,273,894
930,664,984
68,638,839
28,299,603
70,345,734
119,214,518
767,736,834
485,973,809
865,605,643
271,514,100
773,95,511
278,549,672
969,407,731
603,527,357
990,303,55
656,519,764
951,548,555
341,57,566
368,678,886
822,604,936
512,882,635
237,412,64
140,795,231
54,909,217
827,934,903
64,735,309
46,928,775
820,689,465
611,460,131
541,61,33
951,984,713
337,532,698
936,275,438
359,768,234
